age,gender,primary_tech_field,job_title,employment_type,work_arrangement,experience_years_total,experience_years_in_field,education_level,languages_spoken,skills,primary_skill,num_skills,certifications,company_size,annual_salary_usd,num_languages,num_certifications,total_skills + certificates
23,Male,Backend Development,Other,Full-time,Remote,4.7,3.0,Bachelor's Degree,English; Russian; French,Django; Spring Boot; Ruby; Go; Node.js; C#,Django,6,,Large (201-1000),166748.82,3,0,6
27,Male,Frontend Development,Other,Freelance,Remote,0.5,0.5,Bootcamp,English; German; Telugu,Tailwind CSS; React; Webpack; Angular; JavaScript; Next.js,Tailwind CSS,6,,Small (11-50),59916.57,3,0,6
39,Male,QA & Testing,Other,Full-time,Hybrid,8.7,5.4,Bachelor's Degree,English,Jest; Load Testing; Postman; Jira; Performance Testing; TestRail,Jest,6,CISSP,Small (11-50),152122.2,1,1,7
48,Female,Backend Development,Other,Full-time,Remote,10.4,8.9,Bachelor's Degree,English; Portuguese; Hindi,Ruby; PHP; Go; FastAPI; C#; Express.js; Spring Boot,Ruby,7,,Enterprise (1000+),189314.0,3,0,7
28,Female,Backend Development,Other,Full-time,On-site,9.2,8.7,Bootcamp,English; Spanish,C#; Spring Boot; PHP; Rust,C#,4,,Large (201-1000),142105.61,2,0,4
19,Female,Full-Stack Development,Other,Full-time,Remote,0.5,0.5,Master's Degree,English,React; Python; Node.js; Docker; PostgreSQL; REST APIs; Vue.js; Redis,React,8,,Enterprise (1000+),161339.59,1,0,8
28,Male,Backend Development,Other,Part-time,Remote,3.7,3.1,Bachelor's Degree,English; Italian,C#; Express.js; FastAPI; Python,C#,4,,Large (201-1000),163830.39,2,0,4
46,Male,Game Development,Other,Full-time,Remote,5.3,4.1,Bachelor's Degree,English,Shader Programming; DirectX; Unity; 3D Modeling; Unreal Engine; Physics Engine,Shader Programming,6,,Small (11-50),132447.65,1,0,6
30,Male,DevOps & Cloud,Other,Full-time,Remote,12.6,5.9,Bachelor's Degree,Portuguese; Japanese; Tamil,CI/CD; Prometheus; AWS; GCP; Kubernetes; Terraform,CI/CD,6,TensorFlow Developer Certificate,Startup (1-10),172344.7,3,1,7
38,Male,QA & Testing,Other,Full-time,Hybrid,2.3,1.2,Bachelor's Degree,English,TestRail; Jest; Load Testing; Selenium; Jira; Postman; API Testing,TestRail,7,,Enterprise (1000+),160875.97,1,0,7
28,Male,Cybersecurity,Other,Full-time,On-site,6.2,4.3,Bachelor's Degree,English; Telugu,Firewalls; Python; SIEM; Cryptography; Ethical Hacking,Firewalls,5,,Large (201-1000),231993.72,2,0,5
36,Male,Product Management,Other,Full-time,Remote,4.4,3.0,Bachelor's Degree,English,Wireframing; User Research; Figma; Data Analysis; Stakeholder Management,Wireframing,5,TensorFlow Developer Certificate; AWS Certified Solutions Architect; Kubernetes CKA,Startup (1-10),104588.83,1,3,8
18,Female,Blockchain & Web3,Other,Full-time,Remote,5.1,4.8,Bachelor's Degree,English,ethers.js; Web3.js; Smart Contracts,ethers.js,3,,Enterprise (1000+),241031.45,1,0,3
38,Male,Full-Stack Development,Other,Full-time,Remote,5.6,4.1,Bachelor's Degree,English; Mandarin,AWS; MongoDB; Python; Vue.js; Node.js; GraphQL; PostgreSQL; TypeScript,AWS,8,Certified Scrum Master,Medium (51-200),175294.19,2,1,9
25,Male,Mobile Development,Other,Part-time,Remote,5.8,2.6,Bachelor's Degree,English; Tamil; Italian,Java; Flutter; Firebase; Android SDK; Jetpack Compose; Xcode; SwiftUI,Java,7,,Medium (51-200),141619.48,3,0,7
42,Male,Cybersecurity,Other,Contract,Remote,6.1,3.8,PhD,English; Tamil; Bengali,Wireshark; Python; Incident Response; SIEM; Ethical Hacking; Burp Suite; Nmap,Wireshark,7,,Enterprise (1000+),354424.5,3,0,7
28,Non-Binary,Site Reliability Engineering,Other,Full-time,Remote,10.4,9.9,Bachelor's Degree,English,Kubernetes; Incident Management; Grafana,Kubernetes,3,,Medium (51-200),230666.3,1,0,3
31,Male,DevOps & Cloud,Other,Full-time,On-site,13.9,8.7,Bootcamp,Japanese,CI/CD; GCP; Ansible; Helm; Docker; Kubernetes,CI/CD,6,Google Cloud Professional,Startup (1-10),154875.37,1,1,7
24,Non-Binary,Frontend Development,Web Developer,Full-time,On-site,4.0,2.6,Master's Degree,English; Russian; German,Webpack; JavaScript; TypeScript; HTML/CSS; Tailwind CSS; GraphQL,Webpack,6,,Medium (51-200),152603.0,3,0,6
48,Prefer not to say,Frontend Development,Other,Full-time,Hybrid,8.7,6.7,Master's Degree,English; Japanese; Mandarin,JavaScript; HTML/CSS; GraphQL; Redux; SASS; Vue.js; Tailwind CSS; Next.js,JavaScript,8,Kubernetes CKA,Startup (1-10),50984.85,3,1,9
27,Female,Backend Development,Other,Full-time,Remote,2.1,1.4,Bootcamp,English,Rust; Express.js; C#; Spring Boot,Rust,4,,Small (11-50),101917.24,1,0,4
29,Male,Game Development,Other,Full-time,Remote,0.5,0.5,Master's Degree,English; French; Telugu,Unity; Physics Engine; C#; Unreal Engine; Shader Programming; C++,Unity,6,Certified Scrum Master,Large (201-1000),99042.3,3,1,7
37,Non-Binary,Backend Development,Other,Full-time,Remote,0.5,0.5,Bachelor's Degree,English,Spring Boot; Ruby; Node.js; Express.js; Rust; Go,Spring Boot,6,AWS Certified Solutions Architect,Enterprise (1000+),92196.14,1,1,7
34,Male,Mobile Development,Other,Full-time,On-site,7.7,3.6,Bachelor's Degree,English; Korean,Xcode; Flutter; Firebase; Dart; Android SDK; Jetpack Compose; Objective-C; Kotlin,Xcode,8,CEH,Startup (1-10),176845.94,2,1,9
37,Male,Cybersecurity,Other,Full-time,Remote,5.8,2.6,Bachelor's Degree,English; German,Ethical Hacking; SIEM; Cryptography; Firewalls,Ethical Hacking,4,Kubernetes CKA,Startup (1-10),149410.62,2,1,5
30,Male,Full-Stack Development,Web Developer,Full-time,Remote,0.9,0.6,Bootcamp,English; Arabic,Vue.js; GraphQL; React; TypeScript; Docker,Vue.js,5,,Enterprise (1000+),101808.39,2,0,5
22,Male,Blockchain & Web3,Other,Full-time,Remote,7.6,3.6,Bachelor's Degree,English,Smart Contracts; Solidity; Ethereum; Rust,Smart Contracts,4,,Startup (1-10),188371.18,1,0,4
35,Female,Product Management,Other,Full-time,Remote,2.8,2.0,Bachelor's Degree,English,Scrum; Figma; Jira; Confluence; User Research; A/B Testing,Scrum,6,,Small (11-50),128037.6,1,0,6
32,Non-Binary,Backend Development,Platform Engineer,Full-time,Hybrid,5.9,3.5,Master's Degree,English,Spring Boot; Node.js; Django; Go; Python,Spring Boot,5,CISSP,Large (201-1000),184884.51,1,1,6
30,Non-Binary,Data Science & ML,Other,Full-time,Hybrid,6.1,6.1,Bootcamp,English; Italian; Hindi,TensorFlow; PyTorch; Pandas,TensorFlow,3,,Startup (1-10),214336.96,3,0,3
28,Male,Frontend Development,Other,Full-time,Remote,9.2,5.9,Bachelor's Degree,English; German,TypeScript; JavaScript; HTML/CSS; Angular; React; Tailwind CSS; SASS; Next.js,TypeScript,8,AWS Certified Solutions Architect,Medium (51-200),161987.01,2,1,9
29,Female,Frontend Development,Other,Full-time,Hybrid,9.0,3.9,Bootcamp,Portuguese; Dutch,HTML/CSS; GraphQL; TypeScript; Tailwind CSS,HTML/CSS,4,CEH; CISSP,Small (11-50),42370.91,2,2,6
27,Female,Cybersecurity,Other,Full-time,Hybrid,2.8,2.3,Bootcamp,English; German; Mandarin; French,Python; Ethical Hacking; Firewalls; IDS/IPS; Nmap; Burp Suite; Network Security; Incident Response,Python,8,AWS Certified Developer,Medium (51-200),170903.88,4,1,9
26,Female,Backend Development,Other,Full-time,On-site,2.4,2.4,Bachelor's Degree,Russian,C#; Express.js; Django; Java; Ruby; Node.js; Go; Spring Boot,C#,8,CEH,Small (11-50),104023.28,1,1,9
35,Female,Cybersecurity,Other,Full-time,Remote,2.3,1.9,Bootcamp,English,Firewalls; Ethical Hacking; Python; SIEM; Nmap,Firewalls,5,,Small (11-50),116474.63,1,0,5
42,Male,Data Science & ML,Other,Full-time,Remote,9.7,4.7,Bachelor's Degree,English,SQL; Hugging Face; scikit-learn,SQL,3,,Small (11-50),192151.01,1,0,3
24,Female,Data Science & ML,Other,Contract,Remote,10.8,5.1,Bootcamp,English; Japanese; Russian,TensorFlow; PyTorch; SQL; scikit-learn; R,TensorFlow,5,Linux Foundation Certified; Google Cloud Professional,Startup (1-10),269716.27,3,2,7
25,Female,Full-Stack Development,Senior Software Engineer,Full-time,Hybrid,8.7,4.3,Master's Degree,English; French; Dutch; Portuguese,REST APIs; Redis; Node.js; Python; Docker,REST APIs,5,,Small (11-50),220172.33,4,0,5
38,Male,QA & Testing,Other,Full-time,Hybrid,5.1,3.3,Bootcamp,English,Performance Testing; Cypress; Jira; Jest; PyTest; TestRail; Load Testing; API Testing,Performance Testing,8,,Large (201-1000),98552.75,1,0,8
30,Male,QA & Testing,Other,Full-time,Remote,4.8,4.2,Bachelor's Degree,English,JUnit; Selenium; Playwright,JUnit,3,CEH; Linux Foundation Certified; CISSP,Medium (51-200),104176.21,1,3,6
28,Female,Frontend Development,Other,Full-time,Remote,0.8,0.7,Bachelor's Degree,Mandarin; Italian; Spanish,HTML/CSS; GraphQL; TypeScript; Next.js,HTML/CSS,4,AWS Certified Solutions Architect,Large (201-1000),135907.91,3,1,5
30,Male,Product Management,Other,Full-time,Remote,4.3,3.5,Bootcamp,Russian,User Research; Jira; Wireframing; Agile; Confluence; Roadmapping; Scrum; SQL,User Research,8,,Medium (51-200),56853.47,1,0,8
31,Female,Product Management,Other,Freelance,Remote,7.6,6.8,Bachelor's Degree,English; Bengali; Japanese; German,Jira; Agile; Confluence; User Research; Scrum; Wireframing; A/B Testing; Stakeholder Management,Jira,8,AWS Certified Developer,Enterprise (1000+),73368.17,4,1,9
35,Male,Data Science & ML,Other,Contract,Remote,6.5,6.1,Master's Degree,Japanese; English; German; French,Pandas; TensorFlow; SQL; scikit-learn; Hugging Face; Spark; Keras; Python,Pandas,8,CISSP; Google Cloud Professional,Enterprise (1000+),273547.46,4,2,10
34,Female,Frontend Development,Other,Full-time,On-site,5.7,2.3,Bootcamp,English; Dutch; Portuguese,Tailwind CSS; TypeScript; Angular; Vue.js; Redux; HTML/CSS; GraphQL; React,Tailwind CSS,8,Azure Solutions Architect; Certified Scrum Master,Large (201-1000),111488.29,3,2,10
19,Female,QA & Testing,Other,Full-time,Hybrid,6.9,4.3,Bachelor's Degree,English,Load Testing; Performance Testing; Jira; Postman,Load Testing,4,,Medium (51-200),178673.82,1,0,4
32,Male,Data Science & ML,Other,Full-time,Remote,4.2,2.3,Bootcamp,English,Python; PyTorch; NLTK; scikit-learn; OpenCV; Pandas; Hugging Face,Python,7,,Small (11-50),216049.77,1,0,7
31,Prefer not to say,Full-Stack Development,Web Developer,Contract,Remote,9.3,4.6,Bachelor's Degree,Dutch,Node.js; Vue.js; Redis; REST APIs; Docker; React; MongoDB,Node.js,7,Azure Solutions Architect; CompTIA Security+,Startup (1-10),191823.56,1,2,9
32,Male,Blockchain & Web3,Other,Contract,Remote,3.1,1.4,Bootcamp,Bengali,Rust; ethers.js; Go; Solidity,Rust,4,CompTIA Security+,Small (11-50),169913.52,1,1,5
44,Female,Data Science & ML,Other,Full-time,Hybrid,6.6,4.3,Associate's Degree,English; Dutch,OpenCV; Spark; SQL; Python,OpenCV,4,,Small (11-50),185004.52,2,0,4
34,Female,Game Development,Other,Full-time,Hybrid,10.0,7.6,Bootcamp,English; Spanish,Physics Engine; Photon; Unity; C#; OpenGL; Shader Programming; DirectX; Unreal Engine,Physics Engine,8,CompTIA Security+,Startup (1-10),140778.34,2,1,9
27,Female,Data Science & ML,Other,Full-time,On-site,10.5,8.8,Bachelor's Degree,English; German,Spark; Pandas; SQL; OpenCV; R,Spark,5,,Large (201-1000),279865.1,2,0,5
23,Male,Database & Data Engineering,Other,Full-time,Hybrid,6.8,5.8,Bootcamp,English; Portuguese; Bengali; German,dbt; Spark; Cassandra,dbt,3,AWS Certified Developer,Enterprise (1000+),248431.39,4,1,4
28,Female,Embedded Systems & IoT,Other,Full-time,Remote,5.0,3.5,Master's Degree,English,C++; C; ARM; Embedded Linux,C++,4,,Enterprise (1000+),203489.78,1,0,4
26,Female,Data Science & ML,Other,Full-time,Remote,2.0,1.3,Master's Degree,English; German; Japanese,Pandas; TensorFlow; scikit-learn; Python; NLTK,Pandas,5,,Medium (51-200),182799.41,3,0,5
42,Female,Frontend Development,Other,Full-time,On-site,7.4,3.2,Bootcamp,English; Mandarin,TypeScript; React; HTML/CSS; JavaScript; Webpack,TypeScript,5,,Large (201-1000),170640.91,2,0,5
25,Male,Frontend Development,Other,Full-time,Remote,2.5,1.1,Bootcamp,English,Webpack; Angular; SASS,Webpack,3,,Small (11-50),79596.5,1,0,3
25,Female,Mobile Development,Other,Full-time,Remote,3.1,2.8,Bootcamp,English; Mandarin; Telugu,Firebase; Java; Swift; Dart; React Native; Flutter,Firebase,6,CISSP; CompTIA Security+,Enterprise (1000+),184823.56,3,2,8
29,Male,Mobile Development,Other,Full-time,Hybrid,9.2,8.9,Master's Degree,English; Mandarin,SwiftUI; Kotlin; Dart; Swift; Flutter,SwiftUI,5,,Startup (1-10),184221.06,2,0,5
28,Male,DevOps & Cloud,Other,Contract,Remote,6.4,4.3,Master's Degree,English,AWS; Jenkins; Linux; Docker; Ansible; Terraform; Prometheus,AWS,7,,Large (201-1000),269293.16,1,0,7
38,Male,Data Science & ML,Other,Full-time,On-site,12.1,7.4,Bootcamp,English; Hindi; Bengali,Pandas; TensorFlow; OpenCV; Python; PyTorch; NLTK,Pandas,6,CISSP,Small (11-50),200326.31,3,1,7
29,Male,Embedded Systems & IoT,Other,Full-time,Remote,9.5,6.7,Master's Degree,Arabic; Bengali; Russian,Embedded Linux; MQTT; MATLAB,Embedded Linux,3,Azure Solutions Architect; Google Cloud Professional,Small (11-50),223344.27,3,2,5
35,Female,Cybersecurity,Other,Full-time,Hybrid,2.0,1.7,Bachelor's Degree,English; Mandarin,Incident Response; Ethical Hacking; Cryptography; Burp Suite; Wireshark; Linux; Firewalls; SIEM,Incident Response,8,Azure Solutions Architect; AWS Certified Developer,Enterprise (1000+),223490.78,2,2,10
33,Male,Product Management,Other,Full-time,Remote,2.9,2.3,Master's Degree,Russian,SQL; Agile; Jira; A/B Testing; Data Analysis; Scrum; Stakeholder Management,SQL,7,AWS Certified Developer,Large (201-1000),62352.53,1,1,8
35,Female,Database & Data Engineering,Other,Full-time,Remote,0.5,0.5,Master's Degree,Bengali; Tamil,BigQuery; MongoDB; Kafka,BigQuery,3,,Small (11-50),100483.87,2,0,3
19,Male,Cybersecurity,Other,Freelance,Remote,0.5,0.5,Master's Degree,English,Burp Suite; IDS/IPS; Python; Network Security; Wireshark; Nmap; Firewalls; Ethical Hacking,Burp Suite,8,,Small (11-50),33587.86,1,0,8
38,Male,Database & Data Engineering,Other,Full-time,Hybrid,0.5,0.5,Bootcamp,English; Mandarin,Airflow; Elasticsearch; PostgreSQL; Snowflake; Cassandra; SQL; Kafka,Airflow,7,,Small (11-50),130911.46,2,0,7
18,Male,Data Science & ML,Other,Full-time,Remote,4.6,1.9,Master's Degree,English; Portuguese,R; scikit-learn; Keras,R,3,CEH,Large (201-1000),221320.84,2,1,4
20,Female,Data Science & ML,Other,Full-time,Remote,0.5,0.5,Bachelor's Degree,English,SQL; Python; scikit-learn; OpenCV,SQL,4,AWS Certified Developer; PMP,Large (201-1000),99012.7,1,2,6
37,Female,Backend Development,Other,Full-time,Remote,7.2,6.8,Bootcamp,English; Korean,Node.js; PHP; Python; Java; Express.js; Django; Ruby; Go,Node.js,8,CISSP,Startup (1-10),108163.18,2,1,9
28,Female,Cybersecurity,Other,Freelance,Remote,0.5,0.5,Bachelor's Degree,English; Mandarin; Tamil,Incident Response; Ethical Hacking; Python; Burp Suite; IDS/IPS; Linux,Incident Response,6,Azure Solutions Architect,Startup (1-10),25646.03,3,1,7
22,Prefer not to say,Backend Development,Other,Full-time,Remote,4.4,4.2,PhD,English; Bengali; Russian; Korean,Go; Python; C#,Go,3,CISSP,Small (11-50),211189.87,4,1,4
30,Prefer not to say,Embedded Systems & IoT,Other,Full-time,On-site,5.7,4.2,Bootcamp,English; Tamil,C++; Microcontrollers; Python; PCB Design; Embedded Linux; C,C++,6,Kubernetes CKA; Linux Foundation Certified; CompTIA Security+,Enterprise (1000+),171573.76,2,3,9
27,Non-Binary,Mobile Development,Other,Full-time,On-site,2.0,1.7,PhD,English,SwiftUI; Kotlin; Jetpack Compose; Java,SwiftUI,4,CompTIA Security+; AWS Certified Developer,Enterprise (1000+),161021.67,1,2,6
33,Male,Site Reliability Engineering,Other,Full-time,Hybrid,7.5,3.9,Bachelor's Degree,English; Spanish,Kubernetes; CI/CD; Go; GCP; Python; AWS; Prometheus,Kubernetes,7,Kubernetes CKA; CISSP,Medium (51-200),224492.36,2,2,9
22,Male,Data Science & ML,Other,Full-time,Remote,3.4,3.1,Bootcamp,English; Bengali; Japanese,OpenCV; Keras; Spark,OpenCV,3,,Startup (1-10),184296.89,3,0,3
31,Male,DevOps & Cloud,Other,Full-time,On-site,7.6,4.8,Bootcamp,English,Azure; Helm; AWS; GCP; Ansible; CI/CD,Azure,6,CISSP,Enterprise (1000+),280306.29,1,1,7
18,Male,Full-Stack Development,Web Developer,Full-time,On-site,7.7,6.9,Bachelor's Degree,Mandarin,Python; React; GraphQL; AWS; Docker,Python,5,Linux Foundation Certified; CISSP; CEH,Large (201-1000),140415.67,1,3,8
23,Male,Backend Development,Other,Full-time,Hybrid,4.8,3.1,Bachelor's Degree,English; Telugu; Bengali,Ruby; Spring Boot; Django; Rust; Python,Ruby,5,,Medium (51-200),217595.7,3,0,5
26,Prefer not to say,DevOps & Cloud,Other,Full-time,Remote,6.3,5.3,Bachelor's Degree,English; Bengali; Dutch,Azure; Linux; Prometheus; Jenkins; Docker,Azure,5,,Enterprise (1000+),274143.43,3,0,5
32,Male,Product Management,Other,Full-time,Remote,2.0,1.1,Bachelor's Degree,English; Portuguese,Roadmapping; SQL; Scrum,Roadmapping,3,PMP,Small (11-50),157461.84,2,1,4
33,Male,Site Reliability Engineering,Other,Full-time,Hybrid,4.1,2.9,Bachelor's Degree,English,Linux; Docker; Incident Management; Python; Go,Linux,5,,Large (201-1000),195353.23,1,0,5
29,Male,Full-Stack Development,Other,Full-time,Remote,11.8,9.8,Bootcamp,English,TypeScript; GraphQL; Redis; Docker; AWS; MongoDB; PostgreSQL; REST APIs,TypeScript,8,,Large (201-1000),186594.0,1,0,8
25,Prefer not to say,QA & Testing,Other,Full-time,Remote,1.8,1.5,Bootcamp,English; Italian,Load Testing; TestRail; Playwright; Jest,Load Testing,4,,Large (201-1000),82236.89,2,0,4
32,Male,Mobile Development,Other,Full-time,Remote,0.5,0.5,Master's Degree,English; German; Japanese,Flutter; Java; Xcode; Dart; React Native; Android SDK; Kotlin,Flutter,7,,Medium (51-200),71921.39,3,0,7
46,Female,Full-Stack Development,Senior Software Engineer,Full-time,Remote,3.5,2.2,Bootcamp,English,REST APIs; React; Redis; Python; Docker; MongoDB,REST APIs,6,,Small (11-50),142195.76,1,0,6
22,Female,Backend Development,Platform Engineer,Full-time,Remote,0.8,0.7,Bootcamp,Spanish; Mandarin,Java; Node.js; Rust; Spring Boot; Django; FastAPI,Java,6,Azure Solutions Architect; Linux Foundation Certified,Medium (51-200),111398.25,2,2,8
28,Female,QA & Testing,Other,Contract,Remote,10.0,8.5,Bachelor's Degree,English,Jira; JUnit; Cypress; Jest; TestRail,Jira,5,,Large (201-1000),45732.14,1,0,5
33,Female,Blockchain & Web3,Other,Full-time,Remote,5.5,4.7,Master's Degree,English,IPFS; Ethereum; Rust,IPFS,3,,Enterprise (1000+),394758.57,1,0,3
39,Male,Full-Stack Development,Full Stack Developer,Full-time,Remote,0.5,0.5,Bachelor's Degree,English; Russian,REST APIs; Python; React; GraphQL; Redis; AWS,REST APIs,6,,Large (201-1000),88409.89,2,0,6
33,Female,Mobile Development,Other,Full-time,Remote,8.7,5.5,Master's Degree,English; German; Japanese; Mandarin,Dart; SwiftUI; Android SDK; Java; Firebase; Xcode,Dart,6,Kubernetes CKA; CISSP,Small (11-50),63459.76,4,2,8
44,Male,Product Management,Other,Full-time,Hybrid,0.5,0.5,Bachelor's Degree,English,Roadmapping; A/B Testing; Stakeholder Management; Confluence; SQL; Data Analysis,Roadmapping,6,,Enterprise (1000+),139584.23,1,0,6
33,Male,Data Science & ML,Other,Freelance,Remote,10.5,10.1,Bootcamp,English; Korean,Python; NLTK; Hugging Face; R,Python,4,,Enterprise (1000+),278646.42,2,0,4
29,Prefer not to say,Cybersecurity,Other,Full-time,Remote,5.5,5.0,Bootcamp,Hindi; Arabic,Nmap; Firewalls; Linux; Python; SIEM; Ethical Hacking; Burp Suite,Nmap,7,Azure Solutions Architect; CompTIA Security+,Medium (51-200),50933.38,2,2,9
43,Female,Data Science & ML,Other,Freelance,Remote,7.7,7.2,Master's Degree,English; Spanish; Mandarin,PyTorch; TensorFlow; NLTK; OpenCV; scikit-learn; Pandas,PyTorch,6,,Large (201-1000),279052.48,3,0,6
43,Prefer not to say,Backend Development,Platform Engineer,Freelance,Remote,6.8,4.0,Bachelor's Degree,English; Arabic,Express.js; Java; PHP,Express.js,3,Linux Foundation Certified,Enterprise (1000+),226427.66,2,1,4
18,Male,Full-Stack Development,Other,Full-time,Hybrid,2.2,1.7,Master's Degree,English,Docker; PostgreSQL; REST APIs; Python; React,Docker,5,,Small (11-50),138547.7,1,0,5
39,Male,DevOps & Cloud,Other,Full-time,Hybrid,6.9,4.1,High School,English; French; Russian,Azure; GCP; Terraform; Helm,Azure,4,,Startup (1-10),197658.24,3,0,4
31,Male,Mobile Development,Other,Full-time,Remote,2.9,1.7,Master's Degree,English,React Native; Java; Objective-C,React Native,3,Azure Solutions Architect,Large (201-1000),154047.73,1,1,4
25,Female,Backend Development,Other,Full-time,On-site,0.5,0.5,PhD,English,Django; Go; PHP; Python; Rust; Node.js,Django,6,TensorFlow Developer Certificate,Large (201-1000),169865.65,1,1,7
29,Male,Cybersecurity,Other,Full-time,Hybrid,2.8,2.5,Master's Degree,English; Arabic; Russian; Italian,Ethical Hacking; Nmap; Incident Response; Burp Suite; Linux,Ethical Hacking,5,,Enterprise (1000+),220374.16,4,0,5
46,Male,Site Reliability Engineering,Other,Contract,Remote,11.4,8.0,Master's Degree,English; Bengali,Prometheus; GCP; Grafana; Kubernetes; Terraform; AWS,Prometheus,6,,Small (11-50),257507.6,2,0,6
35,Female,Cybersecurity,Other,Freelance,Remote,8.5,4.1,Master's Degree,Portuguese,Burp Suite; SIEM; Firewalls; Nmap; Incident Response; Python; Network Security; Cryptography,Burp Suite,8,,Small (11-50),170153.57,1,0,8
38,Male,Data Science & ML,Other,Part-time,Remote,4.6,4.3,Bootcamp,Portuguese,Hugging Face; Keras; R; PyTorch; scikit-learn,Hugging Face,5,TensorFlow Developer Certificate,Small (11-50),208251.96,1,1,6
24,Non-Binary,Full-Stack Development,Senior Software Engineer,Full-time,On-site,0.5,0.5,Bachelor's Degree,English; Tamil; Spanish; Arabic,Docker; Python; MongoDB; React; Vue.js; GraphQL,Docker,6,PMP,Large (201-1000),34038.37,4,1,7
47,Male,Site Reliability Engineering,Other,Full-time,On-site,3.6,3.2,Bootcamp,English; Bengali; French; Spanish,Incident Management; Kubernetes; Docker; Go,Incident Management,4,,Large (201-1000),214042.78,4,0,4
25,Non-Binary,Mobile Development,Other,Full-time,Hybrid,17.5,13.1,Bootcamp,Hindi,Kotlin; Java; SwiftUI; Android SDK; Dart; Flutter,Kotlin,6,,Small (11-50),203141.35,1,0,6
49,Female,Embedded Systems & IoT,Other,Full-time,Hybrid,4.9,3.2,Associate's Degree,English; Italian,MQTT; PCB Design; ARM; RTOS; MATLAB; Embedded Linux; C; Microcontrollers,MQTT,8,CEH,Large (201-1000),177567.88,2,1,9
41,Male,DevOps & Cloud,Other,Full-time,Hybrid,6.4,3.4,Bootcamp,English; Dutch,Kubernetes; Azure; Ansible,Kubernetes,3,CompTIA Security+; AWS Certified Solutions Architect,Large (201-1000),242806.59,2,2,5
31,Female,DevOps & Cloud,Other,Full-time,Remote,5.0,2.5,Bachelor's Degree,English; Italian,GCP; Helm; Jenkins; AWS,GCP,4,,Small (11-50),170935.5,2,0,4
28,Male,Product Management,Other,Full-time,Hybrid,8.9,5.0,PhD,English,Jira; A/B Testing; Data Analysis; Scrum; Confluence,Jira,5,,Startup (1-10),189930.42,1,0,5
27,Female,Product Management,Other,Contract,Remote,1.5,0.9,Master's Degree,English; German; Spanish,SQL; Wireframing; Jira; Stakeholder Management; A/B Testing; Data Analysis; Scrum; Figma,SQL,8,,Large (201-1000),211607.7,3,0,8
30,Male,Mobile Development,Other,Freelance,Remote,11.2,10.1,Bootcamp,English,Dart; Objective-C; SwiftUI; Flutter; Firebase; Kotlin; Swift,Dart,7,Certified Scrum Master; AWS Certified Solutions Architect,Large (201-1000),139008.77,1,2,9
22,Female,Embedded Systems & IoT,Other,Full-time,Hybrid,3.6,2.9,PhD,English; Telugu,Microcontrollers; PCB Design; MATLAB; I2C/SPI; FPGA,Microcontrollers,5,CISSP,Startup (1-10),172597.8,2,1,6
20,Female,Frontend Development,Other,Full-time,On-site,5.5,3.5,Master's Degree,German,Next.js; GraphQL; Vue.js; Redux; JavaScript; React; SASS; Angular,Next.js,8,,Medium (51-200),127848.27,1,0,8
33,Female,Game Development,Other,Full-time,Remote,0.5,0.5,PhD,English; Mandarin; Dutch,Unreal Engine; 3D Modeling; Photon,Unreal Engine,3,Linux Foundation Certified; AWS Certified Solutions Architect; CompTIA Security+,Small (11-50),85120.34,3,3,6
42,Male,Site Reliability Engineering,Other,Full-time,On-site,10.8,5.8,PhD,French; Tamil; Italian; Mandarin,Prometheus; Terraform; Linux; GCP; Docker; Incident Management,Prometheus,6,,Medium (51-200),83831.07,4,0,6
35,Male,Product Management,Other,Full-time,Remote,7.9,4.2,PhD,English,Data Analysis; Scrum; Figma; Jira; Confluence; A/B Testing; Stakeholder Management; Agile,Data Analysis,8,,Enterprise (1000+),479033.82,1,0,8
33,Male,Mobile Development,Other,Full-time,Hybrid,6.3,4.4,Associate's Degree,English; Telugu,Android SDK; Java; Xcode,Android SDK,3,,Small (11-50),109312.93,2,0,3
24,Female,Embedded Systems & IoT,Other,Full-time,On-site,3.2,2.3,Bootcamp,English,RTOS; FPGA; Embedded Linux,RTOS,3,,Startup (1-10),152419.39,1,0,3
32,Female,Cybersecurity,Other,Full-time,Remote,8.3,4.3,Master's Degree,English; Tamil,Python; Firewalls; SIEM; Nmap,Python,4,,Small (11-50),202124.51,2,0,4
44,Male,Database & Data Engineering,Other,Full-time,Hybrid,6.4,5.1,Bachelor's Degree,English; Russian; French,Kafka; SQL; Spark; dbt; Elasticsearch; Snowflake; Airflow; Redis,Kafka,8,Google Cloud Professional,Small (11-50),58933.28,3,1,9
20,Male,DevOps & Cloud,Other,Full-time,On-site,5.0,4.6,Bachelor's Degree,English; Korean; Japanese,Linux; Ansible; Jenkins; Terraform; Kubernetes; AWS; Azure,Linux,7,,Small (11-50),165607.3,3,0,7
31,Female,Embedded Systems & IoT,Other,Full-time,Remote,6.3,3.2,Bootcamp,English; Russian; Mandarin,C++; ARM; PCB Design,C++,3,AWS Certified Developer,Startup (1-10),113517.83,3,1,4
36,Male,Data Science & ML,Other,Freelance,Remote,3.9,3.9,Master's Degree,English; French; Russian,Python; OpenCV; R; Hugging Face; NLTK,Python,5,Azure Solutions Architect; AWS Certified Solutions Architect; Kubernetes CKA,Medium (51-200),165855.92,3,3,8
